iter	Passed	Remaining
819	47219	10365
820	47268	10305
821	47322	10247
822	47406	10195
823	47506	10146
824	47556	10087
825	47610	10029
826	47671	9972
827	47730	9915
828	47779	9855
829	47833	9797
830	47880	9737
831	47932	9678
832	47980	9619
833	48032	9560
834	48094	9503
835	48147	9445
836	48196	9385
837	48249	9327
838	48308	9270
839	48360	9211
840	48413	9153
841	48465	9094
842	48543	9040
843	48612	8985
844	48668	8927
845	48721	8868
846	48771	8809
847	48824	8751
848	48872	8692
849	48941	8636
850	48991	8577
851	49043	8519
852	49095	8460
853	49146	8402
854	49197	8343
855	49246	8284
856	49296	8225
857	49347	8167
858	49398	8108
859	49449	8049
860	49500	7991
861	49550	7932
862	49603	7874
863	49660	7816
864	49721	7760
865	49770	7701
866	49822	7642
867	49879	7585
868	49936	7527
869	49987	7469
870	50039	7411
871	50090	7352
872	50146	7295
873	50212	7238
874	50267	7181
875	50318	7122
876	50369	7064
877	50430	7007
878	50478	6948
879	50530	6890
880	50584	6832
881	50640	6774
882	50698	6717
883	50748	6659
884	50800	6601
885	50850	6542
886	50901	6484
887	50951	6426
888	51005	6368
889	51056	6310
890	51126	6254
891	51208	6200
892	51278	6144
893	51334	6086
894	51387	6028
895	51439	5970
896	51489	5912
897	51538	5854
898	51589	5795
899	51663	5740
900	51726	5683
901	51779	5625
902	51836	5568
903	51890	5510
904	51938	5452
905	52003	5395
906	52063	5338
907	52117	5280
908	52165	5222
909	52218	5164
910	52267	5106
911	52318	5048
912	52413	4994
913	52505	4940
914	52553	4882
915	52606	4824
916	52659	4766
917	52715	4708
918	52770	4651
919	52823	4593
920	52898	4537
921	52951	4479
922	53005	4421
923	53059	4364
924	53112	4306
925	53162	4248
926	53244	4192
927	53296	4135
928	53345	4076
929	53397	4019
930	53451	3961
931	53515	3904
932	53594	3848
933	53665	3792
934	53722	3734
935	53805	3679
936	53854	3620
937	53906	3563
938	53956	3505
939	54017	3447
940	54072	3390
941	54122	3332
942	54185	3275
943	54269	3219
944	54323	3161
945	54377	3104
946	54433	3046
947	54487	2988
948	54541	2931
949	54593	2873
950	54644	2815
951	54704	2758
952	54770	2701
953	54819	2643
954	54872	2585
955	54927	2528
956	54981	2470
957	55036	2412
958	55090	2355
959	55139	2297
960	55216	2240
961	55271	2183
962	55318	2125
963	55373	2067
964	55423	2010
965	55515	1953
966	55567	1896
967	55618	1838
968	55674	1781
969	55751	1724
970	55805	1666
971	55856	1609
972	55908	1551
973	55963	1493
974	56014	1436
975	56080	1379
976	56128	1321
977	56183	1263
978	56232	1206
979	56286	1148
980	56336	1091
981	56386	1033
982	56436	976
983	56487	918
984	56534	860
985	56587	803
986	56641	746
987	56702	688
988	56754	631
989	56804	573
990	56856	516
991	56920	459
992	56982	401
993	57029	344
994	57081	286
995	57144	229
996	57209	172
997	57262	114
998	57314	57
999	57401	0
